2024-12-03 08:54:23,316 - 08:54:22.791; 8; 6; 160830; 4263744495820; 1733212462870678592; 1.733212462885264e+18; 274645815; 1733212463236065342; 1733212463295061047; -56; 54/70; happy; 54
2024-12-03 08:54:23,818 - 08:54:23.317; 8; 7; 154911; 4263744495820; 1733212463395826895; 1.7332124634105293e+18; 249858528; 1733212463737437447; 1733212463795607870; -56; 54/70; None; 53
2024-12-03 08:54:24,378 - 08:54:23.818; 8; 8; 159371; 4263744495820; 1733212463895004921; 1.733212463917406e+18; 302552150; 1733212464294797154; 1733212464354073209; -56; 54/70; neutral; 56
2024-12-03 08:54:24,941 - 08:54:24.378; 8; 9; 136689; 4263744495820; 1733212464455382090; 1.7332124644681193e+18; 311488454; 1733212464857099310; 1733212464917751427; -56; 54/70; happy; 54
2024-12-03 08:54:25,504 - 08:54:24.941; 8; 10; 149083; 4263744495820; 1733212465019521075; 1.7332124650366935e+18; 307970598; 1733212465421381143; 1733212465480210966; -56; 54/70; happy; 54
2024-12-03 08:54:26,105 - 08:54:25.505; 9; 0; 140544; 4263744495820; 1733212465583572591; 1.7332124655979008e+18; 347829725; 1733212466020940497; 1733212466081151938; -56; 54/70; happy; 54
2024-12-03 08:54:26,763 - 08:54:26.105; 9; 1; 135250; 4263744495820; 1733212466183809474; 1.7332124661972045e+18; 408065289; 1733212466679835606; 1733212466740475027; -56; 54/70; happy; 54
2024-12-03 08:54:27,471 - 08:54:26.764; 9; 2; 142603; 4263744495820; 1733212466844416739; 1.7332124668598098e+18; 449835996; 1733212467387158317; 1733212467447482703; -56; 54/70; happy; 54
2024-12-03 08:54:28,062 - 08:54:27.471; 9; 3; 139179; 4263744495820; 1733212467552050045; 1.733212467573845e+18; 328864042; 1733212467978077051; 1733212468039409959; -56; 54/70; happy; 54
2024-12-03 08:54:28,659 - 08:54:28.063; 9; 4; 150641; 4263744495820; 1733212468144939009; 1.7332124681568202e+18; 342877556; 1733212468576468744; 1733212468636222343; -56; 54/70; happy; 54
2024-12-03 08:54:29,194 - 08:54:28.660; 9; 5; 153171; 4263744495820; 1733212468740428748; 1.7332124687560617e+18; 278119820; 1733212469111482874; 1733212469171239190; 53/70; -57; neutral; 56
2024-12-03 08:54:29,731 - 08:54:29.195; 9; 6; 160830; 4263744495820; 1733212469277328966; 1.7332124692923543e+18; 278934494; 1733212469648367246; 1733212469708434340; -56; 54/70; happy; 54
2024-12-03 08:54:30,239 - 08:54:29.731; 9; 7; 154911; 4263744495820; 1733212469811243340; 1.7332124698288758e+18; 249869218; 1733212470155782512; 1733212470216130141; -56; 54/70; None; 53
2024-12-03 08:54:30,805 - 08:54:30.239; 9; 8; 159371; 4263744495820; 1733212470318893963; 1.7332124703366776e+18; 307349257; 1733212470720365666; 1733212470781510637; -56; 54/70; neutral; 56
2024-12-03 08:54:31,361 - 08:54:30.806; 9; 9; 136689; 4263744495820; 1733212470884436989; 1.733212470898612e+18; 303013138; 1733212471277859064; 1733212471338128412; -56; 54/70; happy; 54
2024-12-03 08:54:31,913 - 08:54:31.361; 9; 10; 149083; 4263744495820; 1733212471441475971; 1.7332124714563686e+18; 298804430; 1733212471831183766; 1733212471890004030; -56; 54/70; happy; 54
2024-12-03 08:54:32,511 - 08:54:31.913; 10; 0; 140544; 4263744495820; 1733212471992419277; 1.733212472006042e+18; 344450500; 1733212472428021053; 1733212472487962810; -56; 54/70; happy; 54
2024-12-03 08:54:33,153 - 08:54:32.511; 10; 1; 135250; 4263744495820; 1733212472593288765; 1.7332124726015954e+18; 390676641; 1733212473070148863; 1733212473130403559; -56; 54/70; happy; 54
2024-12-03 08:54:33,893 - 08:54:33.154; 10; 2; 142603; 4263744495820; 1733212473230513734; 1.7332124732467459e+18; 488428555; 1733212473810378541; 1733212473869462205; -56; 54/70; happy; 54
2024-12-03 08:54:34,493 - 08:54:33.893; 10; 3; 139179; 4263744495820; 1733212473970383243; 1.7332124739906117e+18; 344910698; 1733212474410509576; 1733212474468916103; -56; 54/70; happy; 54
2024-12-03 08:54:35,108 - 08:54:34.493; 10; 4; 150641; 4263744495820; 1733212474571388289; 1.7332124745909965e+18; 358385214; 1733212475024071340; 1733212475083964782; -56; 54/70; happy; 54
2024-12-03 08:54:35,666 - 08:54:35.108; 10; 5; 153171; 4263744495820; 1733212475187751701; 1.7332124752075832e+18; 299989480; 1733212475582109353; 1733212475642252339; 53/70; -57; neutral; 56
2024-12-03 08:54:36,207 - 08:54:35.666; 10; 6; 160830; 4263744495820; 1733212475744286535; 1.7332124757647946e+18; 282023362; 1733212476123765282; 1733212476183069251; -56; 54/70; happy; 54
2024-12-03 08:54:36,745 - 08:54:36.207; 10; 7; 154911; 4263744495820; 1733212476289074222; 1.7332124763066708e+18; 276890191; 1733212476662655019; 1733212476720429216; -56; 54/70; None; 53
2024-12-03 08:54:37,307 - 08:54:36.745; 10; 8; 159371; 4263744495820; 1733212476824363283; 1.7332124768447857e+18; 304404661; 1733212477223985010; 1733212477284319579; -56; 54/70; neutral; 56
2024-12-03 08:54:37,885 - 08:54:37.307; 10; 9; 136689; 4263744495820; 1733212477388465153; 1.7332124774013906e+18; 322775953; 1733212477802987916; 1733212477862031525; -56; 54/70; happy; 54
2024-12-03 08:54:38,452 - 08:54:37.886; 10; 10; 149083; 4263744495820; 1733212477963345368; 1.7332124779804915e+18; 310854893; 1733212478368095015; 1733212478428117298; -56; 54/70; happy; 54
2024-12-03 08:54:39,071 - 08:54:38.452; 11; 0; 140544; 4263744495820; 1733212478531662263; 1.7332124785483917e+18; 366122668; 1733212478988455772; 1733212479048153335; -56; 54/70; happy; 54
2024-12-03 08:54:39,734 - 08:54:39.071; 11; 1; 135250; 4263744495820; 1733212479152403180; 1.7332124791642737e+18; 411184318; 1733212479652291719; 1733212479710956188; -56; 54/70; happy; 54
2024-12-03 08:54:40,441 - 08:54:39.734; 11; 2; 142603; 4263744495820; 1733212479811347723; 1.7332124798337298e+18; 448517736; 1733212480356951932; 1733212480416868258; -56; 54/70; happy; 54
2024-12-03 08:54:41,050 - 08:54:40.441; 11; 3; 139179; 4263744495820; 1733212480519455941; 1.7332124805410685e+18; 350211783; 1733212480967700649; 1733212481025997255; 55/70; -55; happy; 54
2024-12-03 08:54:41,659 - 08:54:41.050; 11; 4; 150641; 4263744495820; 1733212481131294047; 1.7332124811494712e+18; 349768825; 1733212481575311678; 1733212481635945589; -56; 54/70; happy; 54
2024-12-03 08:54:42,214 - 08:54:41.659; 11; 5; 153171; 4263744495820; 1733212481740718758; 1.733212481757735e+18; 296127039; 1733212482129989513; 1733212482191155238; -56; 54/70; neutral; 56
2024-12-03 08:54:42,749 - 08:54:42.214; 11; 6; 160830; 4263744495820; 1733212482291032212; 1.733212482307889e+18; 281247739; 1733212482665345345; 1733212482726344881; 62/70; -48; happy; 54
2024-12-03 08:54:43,262 - 08:54:42.749; 11; 7; 154911; 4263744495820; 1733212482826448538; 1.7332124828457196e+18; 256353871; 1733212483179393854; 1733212483238107566; -56; 54/70; None; 53
2024-12-03 08:54:43,822 - 08:54:43.263; 11; 8; 159371; 4263744495820; 1733212483344878349; 1.7332124833576717e+18; 304503261; 1733212483740972624; 1733212483800246152; -56; 54/70; neutral; 56
2024-12-03 08:54:44,378 - 08:54:43.822; 11; 9; 136689; 4263744495820; 1733212483899568979; 1.733212483912357e+18; 307262726; 1733212484294857599; 1733212484354495323; -56; 54/70; happy; 54
2024-12-03 08:54:44,924 - 08:54:44.378; 11; 10; 149083; 4263744495820; 1733212484456530901; 1.7332124844747356e+18; 290835023; 1733212484840594973; 1733212484901711846; 55/70; -55; happy; 54
2024-12-03 08:54:45,527 - 08:54:44.925; 12; 0; 140544; 4263744495820; 1733212485004789813; 1.733212485014945e+18; 349578863; 1733212485441399561; 1733212485503599785; -56; 54/70; happy; 54
2024-12-03 08:54:46,198 - 08:54:45.527; 12; 1; 135250; 4263744495820; 1733212485610581698; 1.7332124856318024e+18; 412213075; 1733212486114821974; 1733212486174660715; -56; 54/70; happy; 54
2024-12-03 08:54:46,909 - 08:54:46.198; 12; 2; 142603; 4263744495820; 1733212486275988384; 1.733212486291322e+18; 448371313; 1733212486819972561; 1733212486881518809; 55/70; -55; happy; 54
2024-12-03 08:54:47,525 - 08:54:46.909; 12; 3; 139179; 4263744495820; 1733212486998361948; 1.7332124870262305e+18; 338638408; 1733212487441897212; 1733212487501441077; -56; 54/70; happy; 54
2024-12-03 08:54:48,126 - 08:54:47.525; 12; 4; 150641; 4263744495820; 1733212487603076315; 1.7332124876219622e+18; 348469665; 1733212488044064299; 1733212488103925232; -56; 54/70; happy; 54
2024-12-03 08:54:48,669 - 08:54:48.126; 12; 5; 153171; 4263744495820; 1733212488210080808; 1.7332124882275886e+18; 279675154; 1733212488585835520; 1733212488646057581; 55/70; -55; neutral; 56
